Country Name,Country Code,Indicator Name,Indicator Code,2018
Gibraltar,GIB,Land area (sq. km),AG.LND.TOTL.K2,10
Nauru,NRU,Land area (sq. km),AG.LND.TOTL.K2,20
Tuvalu,TUV,Land area (sq. km),AG.LND.TOTL.K2,30
"Macao SAR, China",MAC,Land area (sq. km),AG.LND.TOTL.K2,30.39999962
Bermuda,BMU,Land area (sq. km),AG.LND.TOTL.K2,54.00000095
San Marino,SMR,Land area (sq. km),AG.LND.TOTL.K2,60
British Virgin Islands,VGB,Land area (sq. km),AG.LND.TOTL.K2,150
Liechtenstein,LIE,Land area (sq. km),AG.LND.TOTL.K2,160
Aruba,ABW,Land area (sq. km),AG.LND.TOTL.K2,180
Marshall Islands,MHL,Land area (sq. km),AG.LND.TOTL.K2,180
Channel Islands,CHI,Land area (sq. km),AG.LND.TOTL.K2,197.9999924
American Samoa,ASM,Land area (sq. km),AG.LND.TOTL.K2,200
Cayman Islands,CYM,Land area (sq. km),AG.LND.TOTL.K2,240
St. Kitts and Nevis,KNA,Land area (sq. km),AG.LND.TOTL.K2,260
Maldives,MDV,Land area (sq. km),AG.LND.TOTL.K2,300
Malta,MLT,Land area (sq. km),AG.LND.TOTL.K2,320
Grenada,GRD,Land area (sq. km),AG.LND.TOTL.K2,340
Virgin Islands (U.S.),VIR,Land area (sq. km),AG.LND.TOTL.K2,350
St. Vincent and the Grenadines,VCT,Land area (sq. km),AG.LND.TOTL.K2,390
Barbados,BRB,Land area (sq. km),AG.LND.TOTL.K2,430
Antigua and Barbuda,ATG,Land area (sq. km),AG.LND.TOTL.K2,440
Northern Mariana Islands,MNP,Land area (sq. km),AG.LND.TOTL.K2,460
Palau,PLW,Land area (sq. km),AG.LND.TOTL.K2,460
Seychelles,SYC,Land area (sq. km),AG.LND.TOTL.K2,460
Andorra,AND,Land area (sq. km),AG.LND.TOTL.K2,470
Guam,GUM,Land area (sq. km),AG.LND.TOTL.K2,540
Isle of Man,IMN,Land area (sq. km),AG.LND.TOTL.K2,570
St. Lucia,LCA,Land area (sq. km),AG.LND.TOTL.K2,610
"Micronesia, Fed. Sts.",FSM,Land area (sq. km),AG.LND.TOTL.K2,700
Singapore,SGP,Land area (sq. km),AG.LND.TOTL.K2,709.0000153
Tonga,TON,Land area (sq. km),AG.LND.TOTL.K2,720
Dominica,DMA,Land area (sq. km),AG.LND.TOTL.K2,750
Bahrain,BHR,Land area (sq. km),AG.LND.TOTL.K2,778.0000305
Kiribati,KIR,Land area (sq. km),AG.LND.TOTL.K2,810
Turks and Caicos Islands,TCA,Land area (sq. km),AG.LND.TOTL.K2,950
Sao Tome and Principe,STP,Land area (sq. km),AG.LND.TOTL.K2,960
"Hong Kong SAR, China",HKG,Land area (sq. km),AG.LND.TOTL.K2,1050
Faroe Islands,FRO,Land area (sq. km),AG.LND.TOTL.K2,1396.000061
Comoros,COM,Land area (sq. km),AG.LND.TOTL.K2,1861.000061
Mauritius,MUS,Land area (sq. km),AG.LND.TOTL.K2,2030
Luxembourg,LUX,Land area (sq. km),AG.LND.TOTL.K2,2430
Samoa,WSM,Land area (sq. km),AG.LND.TOTL.K2,2830
French Polynesia,PYF,Land area (sq. km),AG.LND.TOTL.K2,3660
Cabo Verde,CPV,Land area (sq. km),AG.LND.TOTL.K2,4030
Trinidad and Tobago,TTO,Land area (sq. km),AG.LND.TOTL.K2,5130
Brunei Darussalam,BRN,Land area (sq. km),AG.LND.TOTL.K2,5270
West Bank and Gaza,PSE,Land area (sq. km),AG.LND.TOTL.K2,6020
Puerto Rico,PRI,Land area (sq. km),AG.LND.TOTL.K2,8870
Cyprus,CYP,Land area (sq. km),AG.LND.TOTL.K2,9240
"Bahamas, The",BHS,Land area (sq. km),AG.LND.TOTL.K2,10010
"Gambia, The",GMB,Land area (sq. km),AG.LND.TOTL.K2,10120
Lebanon,LBN,Land area (sq. km),AG.LND.TOTL.K2,10230
Jamaica,JAM,Land area (sq. km),AG.LND.TOTL.K2,10830
Qatar,QAT,Land area (sq. km),AG.LND.TOTL.K2,11610
Vanuatu,VUT,Land area (sq. km),AG.LND.TOTL.K2,12190
Montenegro,MNE,Land area (sq. km),AG.LND.TOTL.K2,13450
Timor-Leste,TLS,Land area (sq. km),AG.LND.TOTL.K2,14870
Eswatini,SWZ,Land area (sq. km),AG.LND.TOTL.K2,17200
Kuwait,KWT,Land area (sq. km),AG.LND.TOTL.K2,17820
Fiji,FJI,Land area (sq. km),AG.LND.TOTL.K2,18270
New Caledonia,NCL,Land area (sq. km),AG.LND.TOTL.K2,18280
Slovenia,SVN,Land area (sq. km),AG.LND.TOTL.K2,20141.99951
El Salvador,SLV,Land area (sq. km),AG.LND.TOTL.K2,20720
Israel,ISR,Land area (sq. km),AG.LND.TOTL.K2,21640
Belize,BLZ,Land area (sq. km),AG.LND.TOTL.K2,22810
Djibouti,DJI,Land area (sq. km),AG.LND.TOTL.K2,23180
Rwanda,RWA,Land area (sq. km),AG.LND.TOTL.K2,24670
North Macedonia,MKD,Land area (sq. km),AG.LND.TOTL.K2,25220
Burundi,BDI,Land area (sq. km),AG.LND.TOTL.K2,25680
Albania,ALB,Land area (sq. km),AG.LND.TOTL.K2,27400
Haiti,HTI,Land area (sq. km),AG.LND.TOTL.K2,27560
Solomon Islands,SLB,Land area (sq. km),AG.LND.TOTL.K2,27990
Equatorial Guinea,GNQ,Land area (sq. km),AG.LND.TOTL.K2,28050
Guinea-Bissau,GNB,Land area (sq. km),AG.LND.TOTL.K2,28120
Armenia,ARM,Land area (sq. km),AG.LND.TOTL.K2,28470
